GeneSymbol,BladderCancer,LungCancer,ProstateCancer,ColonCancer,PancreaticCancer,BladderArticles,LungArticles,ProstateArticles,ColonArticles,PancArticles
VAV3,0,1,7,0,1,NA,26972445,"23023561,23281476,25518347,26201947,26137028,23403204,23566222",NA,26880586
VAV2,0,2,1,2,1,NA,"23699534,24858039",24795148,"22278940,15657050",26224100
RNU6-8,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-9,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-7,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-1,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-2,1,0,0,0,1,22788411,NA,NA,NA,24535468
OR7E115P,0,0,0,0,0,NA,NA,NA,NA,NA
MIR1271,0,0,0,0,0,NA,NA,NA,NA,NA
FOXN4,0,0,0,0,0,NA,NA,NA,NA,NA
RNU7-84P,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-790P,0,0,0,0,0,NA,NA,NA,NA,NA
IGHV3OR16-7,0,0,0,0,0,NA,NA,NA,NA,NA
IGHV3OR16-6,0,0,0,0,0,NA,NA,NA,NA,NA
NR6A1,0,0,1,0,1,NA,NA,23532770,NA,24295738
TRN-GTT9-2,0,0,0,0,0,NA,NA,NA,NA,NA
MARS2,0,0,0,0,0,NA,NA,NA,NA,NA
IGHV3OR16-8,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-322P,0,0,0,0,0,NA,NA,NA,NA,NA
OR2A3P,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4435-2HG,0,0,0,0,0,NA,NA,NA,NA,NA
CACTIN-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
IBTKP1,0,0,0,0,0,NA,NA,NA,NA,NA
DAP3P2,0,0,0,0,0,NA,NA,NA,NA,NA
PYGO1,0,0,0,0,0,NA,NA,NA,NA,NA
PYGO2,0,2,0,0,0,NA,"23865714,24348855",NA,NA,NA
OR2B8P,0,0,0,0,0,NA,NA,NA,NA,NA
CRHBP,0,0,0,0,0,NA,NA,NA,NA,NA
FERMT2,0,0,0,1,0,NA,NA,NA,21821115,NA
FERMT3,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-738P,0,0,0,0,0,NA,NA,NA,NA,NA
FERMT1,1,1,0,1,0,21832234,26683690,NA,21220475,NA
OR7E148P,0,0,0,0,0,NA,NA,NA,NA,NA
RPL3P2,0,0,0,0,0,NA,NA,NA,NA,NA
RPL3P1,0,0,0,0,0,NA,NA,NA,NA,NA
CRNKL1,0,0,0,0,0,NA,NA,NA,NA,NA
RPL3P9,0,0,0,0,0,NA,NA,NA,NA,NA
RPL3P8,0,0,0,0,0,NA,NA,NA,NA,NA
HCG18,0,0,0,0,0,NA,NA,NA,NA,NA
HCG14,0,0,0,0,0,NA,NA,NA,NA,NA
HCG15,0,0,0,0,0,NA,NA,NA,NA,NA
HCG16,0,0,0,0,0,NA,NA,NA,NA,NA
HCG17,0,0,0,0,0,NA,NA,NA,NA,NA
WDR97,0,0,0,0,0,NA,NA,NA,NA,NA
HCG11,0,0,0,0,0,NA,NA,NA,NA,NA
TMPOP1,0,0,0,0,0,NA,NA,NA,NA,NA
TMPOP2,0,0,0,0,0,NA,NA,NA,NA,NA
OR52B3P,0,0,0,0,0,NA,NA,NA,NA,NA
PRPH2,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SL515P,0,0,0,0,0,NA,NA,NA,NA,NA
C9orf62,0,0,0,0,0,NA,NA,NA,NA,NA
C9orf66,0,0,0,0,0,NA,NA,NA,NA,NA
C9orf64,0,0,0,0,0,NA,NA,NA,NA,NA
USP6NL,0,0,0,0,0,NA,NA,NA,NA,NA
C9orf69,0,0,0,0,0,NA,NA,NA,NA,NA
MEMO1P1,0,0,0,0,0,NA,NA,NA,NA,NA
RABGEF1,0,0,0,0,0,NA,NA,NA,NA,NA
KLHDC8A,0,0,0,0,0,NA,NA,NA,NA,NA
USP12,0,0,3,0,0,NA,NA,"24056413,25216524,26462181",NA,NA
SIGLEC30P,0,0,0,0,0,NA,NA,NA,NA,NA
USP10,0,3,1,1,1,NA,"24710624,27003362,26975374",23609948,24710624,25168367
USP11,0,0,0,1,1,NA,NA,NA,23629598,23696131
USP16,0,0,0,0,0,NA,NA,NA,NA,NA
TMCC1P1,0,0,0,0,0,NA,NA,NA,NA,NA
USP14,0,3,2,1,0,NA,"26938858,23702845,24556800","25149474,25408199",23958854,NA
OR10AK1P,0,0,0,0,0,NA,NA,NA,NA,NA
USP18,1,0,0,0,0,24616583,NA,NA,NA,NA
USP19,0,1,0,0,0,NA,26048142,NA,NA,NA
INPP1,0,0,0,0,0,NA,NA,NA,NA,NA
DPYD-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
DPYD-AS2,0,0,0,0,0,NA,NA,NA,NA,NA
RPL23AP45,0,0,0,0,0,NA,NA,NA,NA,NA
RPL23AP44,0,0,0,0,0,NA,NA,NA,NA,NA
RPL23AP47,0,0,0,0,0,NA,NA,NA,NA,NA
RPL23AP46,0,0,0,0,0,NA,NA,NA,NA,NA
RPL23AP41,0,0,0,0,0,NA,NA,NA,NA,NA
RPL23AP40,0,0,0,0,0,NA,NA,NA,NA,NA
RPL23AP43,0,0,0,0,0,NA,NA,NA,NA,NA
RPL23AP42,0,0,0,0,0,NA,NA,NA,NA,NA
RPL23AP49,0,0,0,0,0,NA,NA,NA,NA,NA
RPL23AP48,0,0,0,0,0,NA,NA,NA,NA,NA
TRS-TGA1-1,0,0,0,0,0,NA,NA,NA,NA,NA
TAP1,1,0,1,3,1,15455355,NA,23246678,"21290210,22037870,16855371",26022350
CRKL,2,8,0,2,2,"25531052,24375195","24664993,25531052,26728244,24698130,24805778,24324054,24944792,24939008",NA,"24389200,25531052","25897431,25318601"
FAM86FP,0,0,0,0,0,NA,NA,NA,NA,NA
PSME2P6,0,0,0,0,0,NA,NA,NA,NA,NA
PSME2P4,0,0,0,0,0,NA,NA,NA,NA,NA
PSME2P5,0,0,0,0,0,NA,NA,NA,NA,NA
PSME2P2,0,0,0,0,0,NA,NA,NA,NA,NA
PSME2P3,0,0,0,0,0,NA,NA,NA,NA,NA
PSME2P1,0,0,0,0,0,NA,NA,NA,NA,NA
TRQ-CTG9-1,0,0,0,0,0,NA,NA,NA,NA,NA
MT1L,0,0,0,0,0,NA,NA,NA,NA,NA
MIR331,0,0,0,0,0,NA,NA,NA,NA,NA
SUPT5H,0,0,0,1,0,NA,NA,NA,26418880,NA
RETN,0,0,0,2,0,NA,NA,NA,"25811207,20464037",NA
RPTN,0,0,0,0,0,NA,NA,NA,NA,NA
CSPG4P12,0,0,0,0,0,NA,NA,NA,NA,NA
SLC35E2B,0,0,0,0,0,NA,NA,NA,NA,NA
SF3A1,0,0,0,1,1,NA,NA,NA,26079486,26498691
SF3A2,0,0,0,0,0,NA,NA,NA,NA,NA
VN1R10P,0,0,0,0,0,NA,NA,NA,NA,NA
TRR-TCT4-1,0,0,0,0,0,NA,NA,NA,NA,NA
SF3A3,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4697HG,0,0,0,0,0,NA,NA,NA,NA,NA
FXR1,0,2,1,2,0,NA,"26484266,25733852",23881279,"17086209,22898327",NA
FXR2,0,1,0,1,0,NA,25205123,NA,22898327,NA
IGKV1D-8,0,0,0,0,0,NA,NA,NA,NA,NA
MT1E,1,0,0,1,1,18724390,NA,NA,20068171,21744341
CYP4X1,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4509-2,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4509-3,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4509-1,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SL468P,0,0,0,0,0,NA,NA,NA,NA,NA
RNASEH1-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
RHBDD2,0,0,0,0,0,NA,NA,NA,NA,NA
RHBDD3,0,0,0,0,0,NA,NA,NA,NA,NA
RHBDD1,0,0,0,1,0,NA,NA,NA,22624035,NA
KLC1,0,0,0,0,0,NA,NA,NA,NA,NA
KLC2,0,1,0,0,0,NA,25668010,NA,NA,NA
KLC3,0,1,0,0,0,NA,26017978,NA,NA,NA
GPC5-AS2,0,0,0,0,0,NA,NA,NA,NA,NA
KRT18P39,0,0,0,0,0,NA,NA,NA,NA,NA
GPC5-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
RPL30P4,0,0,0,0,0,NA,NA,NA,NA,NA
RPL30P5,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SL847P,0,0,0,0,0,NA,NA,NA,NA,NA
KRT18P38,0,0,0,0,0,NA,NA,NA,NA,NA
RPL30P1,0,0,0,0,0,NA,NA,NA,NA,NA
RPL30P2,0,0,0,0,0,NA,NA,NA,NA,NA
RPL30P3,0,0,0,0,0,NA,NA,NA,NA,NA
RPL30P8,0,0,0,0,0,NA,NA,NA,NA,NA
RPL30P9,0,0,0,0,0,NA,NA,NA,NA,NA
CHURC1,0,0,0,0,0,NA,NA,NA,NA,NA
CHCHD2,0,0,0,0,0,NA,NA,NA,NA,NA
CHCHD3,0,0,0,0,0,NA,NA,NA,NA,NA
CHCHD1,0,0,0,0,0,NA,NA,NA,NA,NA
CHCHD6,0,0,0,0,0,NA,NA,NA,NA,NA
CHCHD7,0,0,0,0,0,NA,NA,NA,NA,NA
CHCHD4,0,0,0,0,0,NA,NA,NA,NA,NA
CHCHD5,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SL221P,0,0,0,0,0,NA,NA,NA,NA,NA
NIPBL-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
OVCA2,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF519,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF512,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF513,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF510,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF511,0,0,0,0,0,NA,NA,NA,NA,NA
OR5AR1,0,0,0,0,0,NA,NA,NA,NA,NA
HNMT,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF514,0,0,0,0,0,NA,NA,NA,NA,NA
TMTC2,0,0,0,0,0,NA,NA,NA,NA,NA
TSPYL4,0,0,0,0,0,NA,NA,NA,NA,NA
TSPYL5,0,0,0,0,0,NA,NA,NA,NA,NA
TSPYL6,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-362P,0,0,0,0,0,NA,NA,NA,NA,NA
TSPYL2,0,0,1,0,0,NA,NA,25592066,NA,NA
LINC01424,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01425,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01426,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01427,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01420,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01422,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01423,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SL435P,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01428,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01429,0,0,0,0,0,NA,NA,NA,NA,NA
XIRP2,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-1066P,0,0,0,0,0,NA,NA,NA,NA,NA
RPL12P50,0,0,0,0,0,NA,NA,NA,NA,NA
VWF,1,3,6,7,3,22197408,"24236063,26683690,25889721","26473151,23262399,24641451,24166580,23682021,24510218","16278396,16254106,22507880,26056802,24112972,21409599,18360718","23722320,23683169,22732316"
RN7SL597P,0,0,0,0,0,NA,NA,NA,NA,NA
KIAA0355,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF22,0,0,0,0,0,NA,NA,NA,NA,NA
S7,1,0,0,11,1,24394147,NA,NA,"22202361,16315905,26805304,24841194,24393993,24393978,19106553,23268033,21224635,21224566,26805157",22202274
MIR4308,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4309,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4300,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4301,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4302,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4303,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4304,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4305,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4306,0,0,0,0,0,NA,NA,NA,NA,NA
MIR4307,0,0,0,0,0,NA,NA,NA,NA,NA
ZFY-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
CREG2,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-1120P,0,0,0,0,0,NA,NA,NA,NA,NA
TMEM26-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01280,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01281,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01282,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01284,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01285,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01287,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01288,0,0,0,0,0,NA,NA,NA,NA,NA
LINC01289,0,0,0,0,0,NA,NA,NA,NA,NA
WWC3-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
NTN1,0,0,0,0,0,NA,NA,NA,NA,NA
NTN3,0,0,0,0,0,NA,NA,NA,NA,NA
NTN4,0,0,0,0,0,NA,NA,NA,NA,NA
NTN5,0,0,0,0,0,NA,NA,NA,NA,NA
SI,6,23,46,26,31,"24265260,2300382,24527071,25627007,21333051,24890351","26879013,26182864,25686657,25673032,26229633,25998806,25445555,26313152,26740901,26733951,24288577,24273195,24271499,24784397,25549931,25584709,25275040,25979029,26805735,24593729,26103185,26641521,24007138","25680472,24039699,24023358,26328992,26742732,23849698,24059584,24762481,23995881,26416058,23789298,25445555,26002121,26965511,24128839,22889144,25044687,26585538,23272133,25505225,23600219,23582854,24332022,24324116,23060574,26733951,25207407,24597899,26476789,26796870,23674418,26246041,26102381,24976938,24962506,25908027,23443612,25106679,26699304,26434601,25591599,25370657,26936712,26422200,26578444,26350758","25481829,25003232,12488480,19321964,25156297,17150276,24758762,16290118,26805292,26805130,18799916,17283136,24098375,24394056,24393906,20521976,21256149,22968820,20126366,23459071,23649231,17565265,18494554,22043900,26733951,15378025","23102840,25175267,26127033,26805260,25552484,26103487,26103180,20832187,21493016,24895459,26626610,24594377,22723979,24475834,23728305,23649231,25809563,23688811,24877100,25754023,25890573,24401365,23028227,21547597,21512724,23386737,26710214,24007145,22614133,22549106,25549324"
IFNA21,0,0,0,0,0,NA,NA,NA,NA,NA
RNU4-90P,0,0,0,0,0,NA,NA,NA,NA,NA
ZBED5-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
B4GALNT4,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SL584P,0,0,0,0,0,NA,NA,NA,NA,NA
C21orf62-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
B4GALNT2,0,0,0,2,0,NA,NA,NA,"24112972,24953560",NA
B4GALNT3,0,0,0,1,0,NA,NA,NA,25003232,NA
IGHV3-69-1,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3657,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3656,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3655,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3654,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3653,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3652,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3651,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3650,0,0,0,0,0,NA,NA,NA,NA,NA
NDE1,0,0,0,0,0,NA,NA,NA,NA,NA
LINC00484,0,0,0,0,0,NA,NA,NA,NA,NA
LINC00487,0,0,0,0,0,NA,NA,NA,NA,NA
LINC00486,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3659,0,0,0,0,0,NA,NA,NA,NA,NA
MIR3658,0,0,0,0,0,NA,NA,NA,NA,NA
NUDC,0,0,1,0,0,NA,NA,26235140,NA,NA
DEFA6,0,0,0,1,0,NA,NA,NA,21696062,NA
DEFA5,0,0,0,2,0,NA,NA,NA,"21696062,21634125",NA
DEFA4,0,0,0,0,0,NA,NA,NA,NA,NA
DEFA3,0,0,1,0,0,NA,NA,26261420,NA,NA
DEFA1,0,0,1,0,0,NA,NA,26261420,NA,NA
USP10P2,0,0,0,0,0,NA,NA,NA,NA,NA
NUMBL,0,0,1,0,0,NA,NA,23440423,NA,NA
NUP210P2,0,0,0,0,0,NA,NA,NA,NA,NA
NUP210P3,0,0,0,0,0,NA,NA,NA,NA,NA
NUP210P1,0,0,0,0,0,NA,NA,NA,NA,NA
VAC14-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-190P,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SL474P,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SL644P,0,0,0,0,0,NA,NA,NA,NA,NA
FOXP4,0,2,4,0,0,NA,"25994569,25755720","26642711,23803082,26967244,26537068",NA,NA
SEPSECS-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
TRK-TTT3-1,0,0,0,0,0,NA,NA,NA,NA,NA
TRK-TTT3-2,0,0,0,0,0,NA,NA,NA,NA,NA
TRK-TTT3-3,0,0,0,0,0,NA,NA,NA,NA,NA
TRK-TTT3-4,0,0,0,0,0,NA,NA,NA,NA,NA
NRP1,1,1,3,5,5,20861073,24145997,"25990623,23144817,25338524","19360289,16391856,20664165,21483694,26824338","24926961,24588767,24556620,23743496,26980697"
NRP2,4,3,1,5,2,"18815217,16585165,24862180,20861073","26748308,24121493,24040438",22777769,"19360289,21349996,21747928,16391856,20664165","26560516,24588767"
RNU12,0,0,0,0,0,NA,NA,NA,NA,NA
C12orf60,0,0,0,0,0,NA,NA,NA,NA,NA
FRA17A,0,0,0,0,0,NA,NA,NA,NA,NA
MIR365B,0,0,0,0,0,NA,NA,NA,NA,NA
C12orf65,0,0,0,0,0,NA,NA,NA,NA,NA
FRA17B,0,0,0,0,0,NA,NA,NA,NA,NA
DNAJB8-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
SPHKAP,0,0,0,0,1,NA,NA,NA,NA,22355676
MAGED4B,0,0,0,0,0,NA,NA,NA,NA,NA
GSTA4,0,0,1,3,0,NA,NA,24788960,"18351577,19383551,15746163",NA
GSTA5,0,0,0,1,0,NA,NA,NA,21355292,NA
PAQR9-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
GSTA1,6,1,2,3,0,"23394311,24075358,24040330,15746160,23259779,24919441",25374180,"25251951,24656733","14601045,21355292,21256954",NA
GSTA2,0,0,0,4,0,NA,NA,NA,"19383551,21355292,15746163,23135549",NA
GSTA3,0,0,0,1,0,NA,NA,NA,21355292,NA
CDY10P,0,0,0,0,0,NA,NA,NA,NA,NA
RPL7L1P9,0,0,0,0,0,NA,NA,NA,NA,NA
DYNLT1,0,0,0,0,0,NA,NA,NA,NA,NA
DYNLT3,0,0,0,0,0,NA,NA,NA,NA,NA
STRAP,1,2,0,0,0,18469707,"25483064,26910283",NA,NA,NA
C1orf87,0,0,0,0,0,NA,NA,NA,NA,NA
LDHAL6FP,0,0,0,0,0,NA,NA,NA,NA,NA
RNF208,0,0,0,0,0,NA,NA,NA,NA,NA
RNF207,0,0,0,0,0,NA,NA,NA,NA,NA
ARF4P5,0,0,0,0,0,NA,NA,NA,NA,NA
ARF4P4,0,0,0,0,0,NA,NA,NA,NA,NA
UBL4A,0,0,0,0,0,NA,NA,NA,NA,NA
ARF4P1,0,0,0,0,0,NA,NA,NA,NA,NA
ARF4P3,0,0,0,0,0,NA,NA,NA,NA,NA
ARF4P2,0,0,0,0,0,NA,NA,NA,NA,NA
STRA6,0,0,0,0,0,NA,NA,NA,NA,NA
HSPA8P9,0,0,0,0,0,NA,NA,NA,NA,NA
HSPA8P8,0,0,0,0,0,NA,NA,NA,NA,NA
DNAJC19P3,0,0,0,0,0,NA,NA,NA,NA,NA
DNAJC19P2,0,0,0,0,0,NA,NA,NA,NA,NA
DNAJC19P5,0,0,0,0,0,NA,NA,NA,NA,NA
DNAJC19P4,0,0,0,0,0,NA,NA,NA,NA,NA
DNAJC19P7,0,0,0,0,0,NA,NA,NA,NA,NA
DNAJC19P6,0,0,0,0,0,NA,NA,NA,NA,NA
DNAJC19P9,0,0,0,0,0,NA,NA,NA,NA,NA
DNAJC19P8,0,0,0,0,0,NA,NA,NA,NA,NA
HSPA8P3,0,0,0,0,0,NA,NA,NA,NA,NA
HSPA8P2,0,0,0,0,0,NA,NA,NA,NA,NA
NCSTNP1,0,0,0,0,0,NA,NA,NA,NA,NA
KIFC3,0,0,0,0,0,NA,NA,NA,NA,NA
HSPA8P7,0,0,0,0,0,NA,NA,NA,NA,NA
KIFC1,0,0,0,0,0,NA,NA,NA,NA,NA
RPL7L1P4,0,0,0,0,0,NA,NA,NA,NA,NA
TRQ-CTG15-1,0,0,0,0,0,NA,NA,NA,NA,NA
TRM-CAT2-1,0,0,0,0,0,NA,NA,NA,NA,NA
SPTLC1P1,0,0,0,0,0,NA,NA,NA,NA,NA
SPTLC1P3,0,0,0,0,0,NA,NA,NA,NA,NA
SPTLC1P2,0,0,0,0,0,NA,NA,NA,NA,NA
SPTLC1P5,0,0,0,0,0,NA,NA,NA,NA,NA
SPTLC1P4,0,0,0,0,0,NA,NA,NA,NA,NA
SYNPO2,0,0,1,0,0,NA,NA,25883213,NA,NA
MIR6777,0,0,0,0,0,NA,NA,NA,NA,NA
DMRT1,0,0,0,0,0,NA,NA,NA,NA,NA
DMRT2,0,0,0,0,0,NA,NA,NA,NA,NA
DMRT3,0,0,0,0,0,NA,NA,NA,NA,NA
MIR6773,0,0,0,0,0,NA,NA,NA,NA,NA
MIR6772,0,0,0,0,0,NA,NA,NA,NA,NA
MIR6771,0,0,0,0,0,NA,NA,NA,NA,NA
PROS1,0,0,1,0,0,NA,NA,22908226,NA,NA
MIR6779,0,0,0,0,0,NA,NA,NA,NA,NA
MIR6778,0,0,0,0,0,NA,NA,NA,NA,NA
ARHGEF10L,0,0,0,0,0,NA,NA,NA,NA,NA
NCKAP5L,0,0,0,0,0,NA,NA,NA,NA,NA
USP12-AS2,0,0,0,0,0,NA,NA,NA,NA,NA
PLA2G12B,0,0,0,1,0,NA,NA,NA,18212756,NA
PLA2G12A,0,0,0,1,0,NA,NA,NA,18212756,NA
HSBP1L1,0,0,0,0,0,NA,NA,NA,NA,NA
MRPS31P1,0,0,0,0,0,NA,NA,NA,NA,NA
LYRM2,0,0,0,0,0,NA,NA,NA,NA,NA
IQCA1,0,0,0,0,0,NA,NA,NA,NA,NA
MRPS31P5,0,0,0,0,0,NA,NA,NA,NA,NA
TNKS2,0,1,1,0,0,NA,26293798,26238235,NA,NA
SUV39H2,0,0,0,1,0,NA,NA,NA,26136424,NA
MT2P1,0,0,0,0,0,NA,NA,NA,NA,NA
LINC00266-4P,0,0,0,0,0,NA,NA,NA,NA,NA
LYRM1,0,0,0,0,0,NA,NA,NA,NA,NA
EPOR,1,5,0,2,1,17938574,"24155958,26665187,26000061,25196361,24004818",NA,"21098876,21318160",21829709
EGFLAM-AS3,0,0,0,0,0,NA,NA,NA,NA,NA
IFNNP1,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-552P,0,0,0,0,0,NA,NA,NA,NA,NA
SNORA9,0,0,0,0,0,NA,NA,NA,NA,NA
SNORA8,0,0,0,0,0,NA,NA,NA,NA,NA
HS6ST1,0,0,0,0,0,NA,NA,NA,NA,NA
HS6ST2,0,1,0,0,0,NA,24649258,NA,NA,NA
HS6ST3,0,0,0,0,0,NA,NA,NA,NA,NA
SNORA1,0,0,0,0,0,NA,NA,NA,NA,NA
SNORA4,0,0,0,0,0,NA,NA,NA,NA,NA
PROSC,0,0,0,0,0,NA,NA,NA,NA,NA
SNORA6,0,0,0,0,0,NA,NA,NA,NA,NA
TCERG1,0,0,0,0,0,NA,NA,NA,NA,NA
CNBP,0,0,0,0,0,NA,NA,NA,NA,NA
FAM218BP,0,0,0,0,0,NA,NA,NA,NA,NA
INTS12,0,0,0,0,0,NA,NA,NA,NA,NA
INTS10,0,0,0,0,0,NA,NA,NA,NA,NA
RRP1B,0,0,0,0,0,NA,NA,NA,NA,NA
RPL13AP,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SL632P,0,0,0,0,0,NA,NA,NA,NA,NA
HCG4P11,0,0,0,0,0,NA,NA,NA,NA,NA
SYF2P2,0,0,0,0,0,NA,NA,NA,NA,NA
SYF2P1,0,0,0,0,0,NA,NA,NA,NA,NA
TUBG1P,0,0,0,0,0,NA,NA,NA,NA,NA
LYRM5,0,0,0,0,0,NA,NA,NA,NA,NA
ARHGEF3-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
TXN2,0,0,0,0,0,NA,NA,NA,NA,NA
AGAP1,0,0,0,0,0,NA,NA,NA,NA,NA
AGAP2,0,1,0,0,0,NA,25802847,NA,NA,NA
AGAP3,0,0,0,0,0,NA,NA,NA,NA,NA
AGAP4,0,0,0,0,0,NA,NA,NA,NA,NA
AGAP5,0,0,0,0,0,NA,NA,NA,NA,NA
AGAP6,0,0,0,0,0,NA,NA,NA,NA,NA
FXNP2,0,0,0,0,0,NA,NA,NA,NA,NA
AGAP9,0,0,0,0,0,NA,NA,NA,NA,NA
TAF7L,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SKP255,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SKP254,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SKP257,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SKP256,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SKP251,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SKP250,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SKP253,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SKP252,0,0,0,0,0,NA,NA,NA,NA,NA
CCL4L1,0,0,0,0,0,NA,NA,NA,NA,NA
CCL4L2,0,0,0,0,0,NA,NA,NA,NA,NA
RN7SKP259,0,0,0,0,0,NA,NA,NA,NA,NA
HPP1,0,0,0,7,1,NA,NA,NA,"26439130,24919179,12460892,18059030,26061044,12555990,15340260",24919179
GDPD2,0,0,0,0,0,NA,NA,NA,NA,NA
GDPD3,0,0,0,0,0,NA,NA,NA,NA,NA
BASP1,0,1,0,0,0,NA,25252218,NA,NA,NA
GDPD1,0,0,0,0,0,NA,NA,NA,NA,NA
EXTL3-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
GDPD4,0,0,0,0,0,NA,NA,NA,NA,NA
GDPD5,0,0,0,0,0,NA,NA,NA,NA,NA
RBM17P4,0,0,0,0,0,NA,NA,NA,NA,NA
RBM17P2,0,0,0,0,0,NA,NA,NA,NA,NA
RBM17P3,0,0,0,0,0,NA,NA,NA,NA,NA
RBM17P1,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF28,0,0,0,0,0,NA,NA,NA,NA,NA
PON1,2,2,3,0,2,"24409656,19846948","25741997,24085812","23281178,27019599,26028114",NA,"23438848,23558240"
RN7SL745P,0,0,0,0,0,NA,NA,NA,NA,NA
GBP1P1,0,0,0,0,0,NA,NA,NA,NA,NA
ZNF30-AS1,0,0,0,0,0,NA,NA,NA,NA,NA
GBAP1,0,0,0,0,0,NA,NA,NA,NA,NA
RNU6-492P,0,0,0,0,0,NA,NA,NA,NA,NA
C6orf106,0,0,0,0,0,NA,NA,NA,NA,NA
YWHAQ,0,0,1,0,0,NA,NA,25183411,NA,NA
YWHAH,0,0,1,0,0,NA,NA,26708993,NA,NA
